FeatureID,FeatureName,dtcl calca8 Average,dtcl calca8 Log2 Fold Change,dtcl calca8 P-Value,dtdt caca Average,dtdt caca Log2 Fold Change,dtdt caca P-Value
ENSMUSG00000039623,Ap5z1,1.4232815754434551,0.7059429418696435,0.585814380574951,0.8502038705479569,-0.7059429418696435,0.585814380574951
ENSMUSG00000029810,Tmem176b,1.4232815754434551,0.7059429418696435,0.604551790936414,0.8502038705479569,-0.7059429418696435,0.604551790936414
ENSMUSG00000031608,Galnt7,1.4232815754434551,0.7059429418696435,0.5695348153457683,0.8502038705479569,-0.7059429418696435,0.5695348153457683
ENSMUSG00000034064,Poglut1,1.4232815754434551,0.7059429418696435,0.5524730325406325,0.8502038705479569,-0.7059429418696435,0.5524730325406325
ENSMUSG00000031148,Gpkow,1.4232815754434551,0.7059429418696435,0.5158969505918448,0.8502038705479569,-0.7059429418696435,0.5158969505918448
ENSMUSG00000026622,Nek2,7.200130322831596,0.7041673169797917,0.1394347700735675,4.1737280917808794,-0.7041673169797917,0.1394347700735675
ENSMUSG00000004846,Plod3,1.3395591298291343,0.7029152491720755,0.5601390777676988,0.8038291139726138,-0.7029152491720755,0.5601390777676988
ENSMUSG00000001761,Smo,1.3395591298291343,0.7029152491720755,0.5601390777676988,0.8038291139726138,-0.7029152491720755,0.5601390777676988
ENSMUSG00000030060,Hmces,1.3395591298291343,0.7029152491720755,0.585814380574951,0.8038291139726138,-0.7029152491720755,0.585814380574951
ENSMUSG00000041594,Tmtc4,1.3395591298291343,0.7029152491720755,0.585814380574951,0.8038291139726138,-0.7029152491720755,0.585814380574951
ENSMUSG00000024098,Twsg1,2.0093386947437013,0.7018268333974115,0.37236138978475186,1.1902854187671397,-0.7018268333974115,0.37236138978475186
ENSMUSG00000011958,Bnip2,2.6791182596582686,0.7012664546601702,0.4744176882170799,1.5767417235616654,-0.7012664546601702,0.4744176882170799
ENSMUSG00000023007,Prpf40b,4.018677389487403,0.7006948639074917,0.25960024616105914,2.349654333150717,-0.7006948639074917,0.25960024616105914
ENSMUSG00000028923,Necap2,1.2558366842148132,0.6995166727102106,0.5448861686530776,0.7574543573972706,-0.6995166727102106,0.5448861686530776
ENSMUSG00000009291,Pttg1ip,1.9256162491293805,0.6995166727102105,0.5063008637945642,1.1439106621917965,-0.6995166727102105,0.5063008637945642
ENSMUSG00000038290,Smg6,1.9256162491293805,0.6995166727102105,0.40898410325971235,1.1439106621917965,-0.6995166727102105,0.40898410325971235
ENSMUSG00000009995,Taz,4.521012063173328,0.6984678213074971,0.32410442298787584,2.643361124794557,-0.6984678213074971,0.32410442298787584
ENSMUSG00000031626,Sorbs2,1.8418938035150596,0.6970098170996355,0.513306845646377,1.0975359056164533,-0.6970098170996355,0.513306845646377
ENSMUSG00000038517,Tbkbp1,5.023346736859253,0.6966813720120726,0.42815898587663764,2.9370679164383966,-0.6966813720120726,0.42815898587663764
ENSMUSG00000028093,Acp6,1.1721142386004924,0.6956746064158161,0.6155726533951719,0.7110796008219276,-0.6956746064158161,0.6155726533951716
ENSMUSG00000004994,Ccdc130,1.1721142386004924,0.6956746064158161,0.6309915843632642,0.7110796008219276,-0.6956746064158161,0.6309915843632642
ENSMUSG00000021376,Tpmt,1.1721142386004924,0.6956746064158161,0.6247302758806257,0.7110796008219276,-0.6956746064158161,0.6247302758806257
ENSMUSG00000045211,Nudt18,2.4279509228153056,0.6956746064158161,0.35337928239821453,1.437617453835636,-0.6956746064158161,0.35337928239821453
ENSMUSG00000031285,Dcx,2.4279509228153056,0.6956746064158161,0.585814380574951,1.437617453835636,-0.6956746064158161,0.585814380574951
ENSMUSG00000038256,Bcl9,1.7581713579007385,0.6942800243440634,0.4280486147074476,1.0511611490411104,-0.6942800243440634,0.4280486147074476
ENSMUSG00000022211,Carmil3,3.600065161415798,0.6942800243440634,0.5053738854258155,2.1177805502740017,-0.6942800243440634,0.5053738854258155
ENSMUSG00000036202,Rif1,2.3442284772009847,0.6935592174138111,0.4379706077047081,1.3912426972602931,-0.6935592174138111,0.4379706077047081
ENSMUSG00000050530,Fam171a1,1.0883917929861715,0.6912961659052421,0.5991372372823115,0.6647048442465845,-0.6912961659052421,0.5991372372823115
ENSMUSG00000026975,Dph7,1.0883917929861715,0.6912961659052421,0.6525710028475856,0.6647048442465845,-0.6912961659052421,0.6525710028475856
ENSMUSG00000034640,Tiparp,1.0883917929861715,0.6912961659052421,0.5991372372823115,0.6647048442465845,-0.6912961659052421,0.5991372372823115
ENSMUSG00000042042,Csgalnact2,1.0883917929861715,0.6912961659052421,0.600658306627629,0.6647048442465845,-0.6912961659052421,0.600658306627629
ENSMUSG00000034453,Polr3b,1.0883917929861715,0.6912961659052421,0.6037382196248554,0.6647048442465845,-0.6912961659052421,0.6037382196248554
ENSMUSG00000022999,Lmbr1l,1.6744489122864177,0.6912961659052421,0.5573357922790527,1.0047863924657672,-0.6912961659052421,0.5573357922790527
ENSMUSG00000033632,AW554918,1.0883917929861715,0.6912961659052421,0.6100377913814755,0.6647048442465845,-0.6912961659052421,0.6100377913814755
ENSMUSG00000046982,Tshz1,1.0883917929861715,0.6912961659052421,0.6155726533951719,0.6647048442465845,-0.6912961659052421,0.6155726533951716
ENSMUSG00000044927,H1fx,3.9349549438730818,0.6899306238810126,0.3831177942466282,2.318737828767155,-0.6899306238810126,0.3831177942466282
ENSMUSG00000001467,Cyp51,3.3488978245728354,0.6896976116797646,0.39566328842506315,1.9786562805479724,-0.6896976116797646,0.39566328842506315
ENSMUSG00000046062,Ppp1r15b,1.5907264666720968,0.688021033872381,0.5190001911092561,0.9584116358904241,-0.688021033872381,0.5190001911092561
ENSMUSG00000024135,Srbd1,1.5907264666720968,0.688021033872381,0.501182052883581,0.9584116358904241,-0.688021033872381,0.501182052883581
ENSMUSG00000038244,Mical2,4.353567171944686,0.6875890245740819,0.4758762572064754,2.5660698638356516,-0.6875890245740819,0.47587625720647564
ENSMUSG00000032470,Mras,4.353567171944686,0.6875890245740819,0.16643272706861464,2.5660698638356516,-0.6875890245740819,0.16643272706861464
ENSMUSG00000078676,Casc3,5.358236519316537,0.6862605760079437,0.2501079007047346,3.153483447123331,-0.6862605760079437,0.2501079007047346
ENSMUSG00000072872,Rybp,1.0046693473718507,0.6862605760079435,0.585814380574951,0.6183300876712413,-0.6862605760079435,0.585814380574951
ENSMUSG00000031538,Plat,1.0046693473718507,0.6862605760079435,0.585814380574951,0.6183300876712413,-0.6862605760079435,0.585814380574951
