gene_id,gene,ctl1,ctl2,ctl3,ctl4,ctl5,ctl6,ctl7
ENSMUSG00000000441,Raf1,1,0,0,32,8,6,45
ENSMUSG00000000489,Pdgfb,0,0,0,1,0,0,1
ENSMUSG00000000530,Acvrl1,0,0,0,1,0,0,0
ENSMUSG00000000532,Acvr1b,3,3,0,18,0,0,11
ENSMUSG00000000538,Tom1l2,2,4,0,23,1,2,33
ENSMUSG00000000544,Gpa33,0,0,0,0,0,0,0
ENSMUSG00000000552,Zfp385a,3,31,6,115,8,7,47
ENSMUSG00000000555,Itga5,0,0,0,1,0,0,1
ENSMUSG00000000560,Gabra2,0,0,0,0,0,0,8
ENSMUSG00000000561,Wdr77,0,1,1,12,3,0,25
ENSMUSG00000000562,Adora3,0,0,0,0,0,0,0
ENSMUSG00000000567,Sox9,0,2,0,0,0,0,18
ENSMUSG00000000568,Hnrnpd,0,6,1,17,2,3,35
ENSMUSG00000000581,C1d,0,2,0,8,0,0,9
ENSMUSG00000000594,Gm2a,1,13,4,34,1,0,36
ENSMUSG00000000600,Krit1,0,0,0,3,2,0,6
ENSMUSG00000000605,Clcn4,2,15,2,47,3,1,38
ENSMUSG00000000606,Vmn2r88,0,0,0,0,0,0,0
ENSMUSG00000000617,Grm6,0,0,0,0,0,0,0
ENSMUSG00000000627,Sema4f,2,3,0,14,3,2,25
ENSMUSG00000000628,Hk2,0,1,0,1,0,0,6
ENSMUSG00000000631,Myo18a,2,4,2,25,3,7,30
ENSMUSG00000000632,Sez6,1,1,1,6,5,0,83
ENSMUSG00000000673,Haao,0,0,0,0,0,0,0
ENSMUSG00000000682,Cd52,0,0,0,0,0,0,0
ENSMUSG00000000686,Abhd15,0,0,1,0,0,0,2
ENSMUSG00000000690,Hoxb6,0,0,0,0,0,0,0
ENSMUSG00000000693,Loxl3,0,0,0,0,0,0,2
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0,0,0,0,0,0,0
ENSMUSG00000000708,Kat2b,0,1,0,2,0,0,6
ENSMUSG00000000711,Rab5b,1,8,1,22,2,1,18
ENSMUSG00000000724,Cryba1,0,0,0,0,0,0,0
ENSMUSG00000000730,Dnmt3l,0,0,0,0,0,0,0
ENSMUSG00000000731,Aire,0,0,0,0,0,0,0
ENSMUSG00000000732,Icosl,0,0,0,0,0,0,0
ENSMUSG00000000738,Spg7,0,7,1,24,5,6,14
ENSMUSG00000000739,Sult5a1,0,0,0,0,0,0,0
ENSMUSG00000000743,Chmp1a,0,3,2,25,1,3,24
ENSMUSG00000000751,Rpa1,1,7,0,39,3,0,25
ENSMUSG00000000753,Serpinf1,0,0,0,0,0,0,0
ENSMUSG00000000759,Tubgcp3,0,0,0,9,1,2,15
ENSMUSG00000000766,Oprm1,0,0,0,0,0,0,2
ENSMUSG00000000776,Polr3d,0,3,1,8,2,0,7
ENSMUSG00000000782,Tcf7,0,0,0,0,0,0,2
ENSMUSG00000000787,Ddx3x,3,17,2,47,4,2,53
ENSMUSG00000000791,Il12rb1,0,0,0,1,0,0,0
ENSMUSG00000000792,Slc5a5,0,0,0,0,0,0,0
